ZIPCode,Date,Densite
49271,1999,41.89
49271,2008,54.95
49271,2013,63.74
49271,2018,63.26
49272,1968,93.54
49272,1975,91.49
49272,1982,88.94
49272,1990,91.68
49272,1999,98.34
49272,2008,112.92
49272,2013,113.21
49272,2018,107.44
49278,1968,322.93
49278,1975,301.15
49278,1982,292.99
49278,1990,256.44
49278,1999,248.21
49278,2008,265.61
49278,2013,237.42
49278,2018,229.0
49283,1968,59.98
49283,1975,69.84
49283,1982,90.38
49283,1990,92.96
49283,1999,90.26
49283,2008,98.02
49283,2013,105.79
49283,2018,109.38
49284,1968,38.51
49284,1975,40.08
49284,1982,49.65
49284,1990,57.64
49284,1999,57.39
49284,2008,68.17
49284,2013,70.85
49284,2018,70.7
49288,1968,98.91
49288,1975,97.27
49288,1982,94.54
49288,1990,97.81
49288,1999,130.6
49288,2008,128.96
49288,2013,128.96
49288,2018,125.14
49291,1968,41.16
49291,1975,45.03
49291,1982,46.41
49291,1990,49.86
49291,1999,47.93
49291,2008,52.9
49291,2013,54.83
49291,2018,52.9
49292,1968,71.55
49292,1975,70.17
49292,1982,69.56
49292,1990,74.42
49292,1999,78.4
49292,2008,97.94
49292,2013,110.19
49292,2018,114.98
49294,1968,30.49
49294,1975,53.87
49294,1982,122.23
49294,1990,150.54
49294,1999,159.96
49294,2008,174.29
49294,2013,181.97
49294,2018,208.54
49298,1968,26.87
49298,1975,39.95
49298,1982,55.9
49298,1990,82.48
49298,1999,112.42
49298,2008,131.48
49298,2013,140.16
49298,2018,151.04
49299,1968,73.02
49299,1975,128.75
49299,1982,193.44
49299,1990,257.29
49299,1999,271.25
49299,2008,255.83
49299,2013,271.77
49299,2018,309.79
49301,1968,81.42
49301,1975,85.53
49301,1982,90.92
49301,1990,94.04
49301,1999,96.7
49301,2008,110.13
49301,2013,117.19
49301,2018,118.88
49302,1968,36.06
49302,1975,30.86
49302,1982,28.1
49302,1990,27.57
49302,1999,29.71
49302,2008,32.77
49302,2013,35.07
49302,2018,34.69
49306,1968,34.14
49306,1975,40.22
49306,1982,71.59
49306,1990,88.73
49306,1999,92.31
49306,2008,107.09
49306,2013,112.82
49306,2018,112.96
49307,1968,64.63
49307,1975,69.07
49307,1982,91.88
49307,1990,109.55
49307,1999,119.35
49307,2008,133.15
49307,2013,136.12
49307,2018,139.12
49308,1968,84.93
49308,1975,122.9
49308,1982,193.54
49308,1990,309.0
49308,1999,380.04
49308,2008,417.03
49308,2013,400.0
49308,2018,408.22
49310,1968,26.98
49310,1975,23.59
49310,1982,23.14
49310,1990,21.93
49310,1999,21.14
49310,2008,21.75
49310,2013,22.95
49310,2018,22.31
49311,1968,48.72
49311,1975,48.66
49311,1982,64.71
49311,1990,73.5
49311,1999,68.19
49311,2008,79.43
49311,2013,78.75
49311,2018,80.59
49321,1968,24.06
49321,1975,20.99
49321,1982,20.13
49321,1990,20.91
49321,1999,24.53
49321,2008,29.48
49321,2013,28.62
49321,2018,30.19
49323,1968,85.14
49323,1975,120.46
49323,1982,142.85
49323,1990,208.78
49323,1999,270.12
49323,2008,276.4
49323,2013,280.83
49323,2018,296.62
49326,1968,78.11
49326,1975,71.72
49326,1982,161.95
49326,1990,213.8
49326,1999,250.17
49326,2008,275.08
49326,2013,275.76
49326,2018,275.42
49328,1968,477.42
49328,1975,490.79
49328,1982,485.27
49328,1990,454.81
49328,1999,450.67
49328,2008,424.83
49328,2013,413.78
49328,2018,401.49
49329,1968,49.07
49329,1975,49.74
49329,1982,52.4
49329,1990,55.4
49329,1999,55.07
49329,2008,66.59
49329,2013,65.49
49329,2018,63.59
49330,1968,29.28
49330,1975,26.48
49330,1982,35.33
49330,1990,41.33
49330,1999,41.97
49330,2008,49.48
49330,2013,65.89
49330,2018,69.03
49331,1968,66.94
49331,1975,67.94
49331,1982,68.05
49331,1990,64.97
49331,1999,64.44
49331,2008,69.64
49331,2013,72.48
49331,2018,72.34
49332,1968,53.68
49332,1975,71.43
49332,1982,99.78
49332,1990,111.78
49332,1999,112.55
49332,2008,118.07
49332,2013,127.35
49332,2018,133.96
49333,1968,76.27
49333,1975,75.2
49333,1982,76.55
49333,1990,77.97
49333,1999,83.66
49333,2008,104.47
49333,2013,103.16
49333,2018,102.15
49334,1968,34.77
49334,1975,30.18
49334,1982,37.27
49334,1990,33.94
49334,1999,31.57
49334,2008,47.29
49334,2013,41.72
49334,2018,45.48
49336,1968,30.0
49336,1975,28.97
49336,1982,27.18
49336,1990,25.92
49336,1999,24.82
49336,2008,28.43
49336,2013,28.72
49336,2018,27.68
49338,1968,31.6
49338,1975,39.78
49338,1982,54.56
49338,1990,81.13
49338,1999,93.47
49338,2008,92.92
49338,2013,96.86
49338,2018,112.26
49339,1968,41.26
49339,1975,43.81
49339,1982,57.85
49339,1990,58.79
49339,1999,65.76
49339,2008,76.0
49339,2013,80.81
49339,2018,82.63
49341,1968,53.25
49341,1975,59.53
49341,1982,64.01
49341,1990,71.75
49341,1999,76.01
49341,2008,80.49
49341,2013,89.35
49341,2018,84.64
49343,1968,77.7
49343,1975,96.75
49343,1982,126.21
49343,1990,131.12
49343,1999,138.66
49343,2008,142.43
49343,2013,145.03
49343,2018,150.78
49344,1968,22.43
49344,1975,23.47
49344,1982,35.02
49344,1990,41.34
49344,1999,45.71
49344,2008,63.34
49344,2013,72.28
49344,2018,74.83
49345,1968,48.48
49345,1975,44.88
49345,1982,45.07
49345,1990,45.52
49345,1999,49.25
49345,2008,56.81
49345,2013,60.53
49345,2018,60.82
49347,1968,58.4
49347,1975,60.09
49347,1982,77.95
49347,1990,90.42
49347,1999,106.97
49347,2008,123.53
49347,2013,127.21
49347,2018,130.77
49352,1968,43.07
49352,1975,49.88
49352,1982,66.19
49352,1990,77.04
49352,1999,75.85
49352,2008,87.89
49352,2013,95.65
49352,2018,105.15
49353,1968,956.07
49353,1975,922.13
49353,1982,902.38
49353,1990,863.85
49353,1999,903.69
49353,2008,989.02
49353,2013,1075.82
49353,2018,1209.75
49355,1968,59.81
49355,1975,68.73
49355,1982,82.35
49355,1990,89.08
49355,1999,82.71
49355,2008,83.62
49355,2013,82.88
49355,2018,89.49
49358,1968,60.43
49358,1975,52.54
49358,1982,52.42
49358,1990,51.27
49358,1999,57.0
49358,2008,68.19
49358,2013,74.3
49358,2018,72.26
49359,1968,55.06
49359,1975,58.27
49359,1982,57.65
49359,1990,57.78
49359,1999,59.01
49359,2008,67.65
49359,2013,72.35
49359,2018,71.36
49361,1968,76.17
49361,1975,73.04
49361,1982,81.2
49361,1990,81.51
49361,1999,79.44
49361,2008,82.83
49361,2013,83.45
49361,2018,80.98
49362,1968,325.29
49362,1975,361.18
49362,1982,353.82
49362,1990,346.76
49362,1999,337.06
49362,2008,353.53
49362,2013,365.88
49362,2018,359.71
49364,1968,42.5
49364,1975,35.24
49364,1982,39.44
49364,1990,40.7
49364,1999,41.52
49364,2008,48.27
49364,2013,46.9
49364,2018,44.86
49367,1968,39.84
49367,1975,37.67
49367,1982,40.55
49367,1990,42.51
49367,1999,44.6
49367,2008,56.22
49367,2013,62.8
49367,2018,63.85
49368,1968,44.35
49368,1975,42.07
49368,1982,41.6
49368,1990,42.9
49368,1999,45.43
49368,2008,47.12
49368,2013,48.44
49368,2018,48.86
49369,1968,41.63
49369,1975,40.24
49369,1982,41.33
49369,1990,39.15
49369,1999,36.68
49369,2008,37.25
49369,2013,37.95
49369,2018,38.19
49370,1968,12.8
49370,1975,14.31
49370,1982,19.35
49370,1990,22.38
49370,1999,23.53
49370,2008,25.65
49370,2013,27.53
49370,2018,28.99
49371,1968,57.94
49371,1975,59.54
49371,1982,70.2
49371,1990,77.36
49371,1999,87.79
49371,2008,91.56
49371,2013,91.18
49371,2018,95.5
49373,1968,42.95
49373,1975,41.55
49373,1982,43.14
49373,1990,42.12
49373,1999,40.39
49373,2008,42.87
49373,2013,44.07
49373,2018,43.78
49374,1968,114.73
49374,1975,117.26
49374,1982,125.63
49374,1990,131.79
49374,1999,136.13
49374,2008,144.1
